Epoch 0/100, Train acc: 8.3315%, Train loss: 2.4836, Val acc: 9.77%, Val loss: 2.4838
Epoch 1/100, Train acc: 25.2790%, Train loss: 2.1734, Val acc: 29.20%, Val loss: 2.0696
Epoch 2/100, Train acc: 27.3103%, Train loss: 2.1075, Val acc: 30.37%, Val loss: 2.0344
Epoch 3/100, Train acc: 32.5949%, Train loss: 1.9599, Val acc: 37.99%, Val loss: 1.7978
Epoch 4/100, Train acc: 34.4196%, Train loss: 1.9074, Val acc: 41.02%, Val loss: 1.7868
Epoch 5/100, Train acc: 37.0647%, Train loss: 1.8568, Val acc: 43.75%, Val loss: 1.7533
Epoch 6/100, Train acc: 41.2500%, Train loss: 1.7251, Val acc: 44.04%, Val loss: 1.6474
Epoch 7/100, Train acc: 43.0246%, Train loss: 1.6750, Val acc: 46.97%, Val loss: 1.5949
Epoch 8/100, Train acc: 45.5190%, Train loss: 1.6024, Val acc: 48.54%, Val loss: 1.5227
Epoch 9/100, Train acc: 44.8326%, Train loss: 1.6064, Val acc: 45.02%, Val loss: 1.5673
Epoch 10/100, Train acc: 48.3873%, Train loss: 1.5259, Val acc: 49.61%, Val loss: 1.4675
Epoch 11/100, Train acc: 49.0848%, Train loss: 1.4905, Val acc: 52.93%, Val loss: 1.4213
Epoch 12/100, Train acc: 49.4475%, Train loss: 1.5100, Val acc: 52.54%, Val loss: 1.4314
Epoch 13/100, Train acc: 51.6853%, Train loss: 1.4323, Val acc: 52.44%, Val loss: 1.3981
Epoch 14/100, Train acc: 51.9141%, Train loss: 1.4105, Val acc: 52.83%, Val loss: 1.3573
Epoch 15/100, Train acc: 54.7489%, Train loss: 1.3350, Val acc: 54.39%, Val loss: 1.3401
Epoch 16/100, Train acc: 53.6719%, Train loss: 1.3722, Val acc: 56.15%, Val loss: 1.3466
Epoch 17/100, Train acc: 54.2299%, Train loss: 1.3509, Val acc: 55.96%, Val loss: 1.3148
Epoch 18/100, Train acc: 56.4174%, Train loss: 1.2895, Val acc: 55.76%, Val loss: 1.3104
Epoch 19/100, Train acc: 55.7645%, Train loss: 1.2924, Val acc: 56.54%, Val loss: 1.2945
Epoch 20/100, Train acc: 57.1484%, Train loss: 1.2651, Val acc: 58.59%, Val loss: 1.2587
Epoch 21/100, Train acc: 57.9353%, Train loss: 1.2518, Val acc: 57.42%, Val loss: 1.2481
Epoch 22/100, Train acc: 57.7121%, Train loss: 1.2486, Val acc: 57.71%, Val loss: 1.2798
Epoch 23/100, Train acc: 59.2913%, Train loss: 1.1951, Val acc: 57.71%, Val loss: 1.2561
Epoch 24/100, Train acc: 59.9163%, Train loss: 1.1805, Val acc: 58.69%, Val loss: 1.2768
Epoch 25/100, Train acc: 59.8326%, Train loss: 1.1769, Val acc: 58.69%, Val loss: 1.2102
Epoch 26/100, Train acc: 60.2958%, Train loss: 1.1671, Val acc: 57.13%, Val loss: 1.2287
Epoch 27/100, Train acc: 60.7924%, Train loss: 1.1376, Val acc: 59.67%, Val loss: 1.2198
Epoch 28/100, Train acc: 62.3661%, Train loss: 1.1143, Val acc: 58.69%, Val loss: 1.2046
Epoch 29/100, Train acc: 61.9420%, Train loss: 1.1225, Val acc: 58.01%, Val loss: 1.2398
Epoch 30/100, Train acc: 62.4051%, Train loss: 1.1006, Val acc: 59.47%, Val loss: 1.2387
Epoch 31/100, Train acc: 63.3315%, Train loss: 1.0702, Val acc: 59.18%, Val loss: 1.2228
Epoch 32/100, Train acc: 64.0792%, Train loss: 1.0601, Val acc: 59.28%, Val loss: 1.2165
Epoch 33/100, Train acc: 64.3862%, Train loss: 1.0651, Val acc: 58.30%, Val loss: 1.2684
Epoch 34/100, Train acc: 64.3638%, Train loss: 1.0428, Val acc: 59.77%, Val loss: 1.2751
Epoch 35/100, Train acc: 65.4967%, Train loss: 1.0310, Val acc: 59.08%, Val loss: 1.2560
Epoch 36/100, Train acc: 65.2958%, Train loss: 1.0343, Val acc: 59.67%, Val loss: 1.2211
Epoch 37/100, Train acc: 65.5859%, Train loss: 1.0119, Val acc: 59.96%, Val loss: 1.2686
Epoch 38/100, Train acc: 67.0089%, Train loss: 0.9818, Val acc: 60.84%, Val loss: 1.2050
Epoch 39/100, Train acc: 67.0033%, Train loss: 0.9792, Val acc: 60.16%, Val loss: 1.2253
Epoch 40/100, Train acc: 66.8973%, Train loss: 0.9751, Val acc: 60.74%, Val loss: 1.2211
Epoch 41/100, Train acc: 67.9520%, Train loss: 0.9572, Val acc: 59.47%, Val loss: 1.2592
Epoch 42/100, Train acc: 67.7511%, Train loss: 0.9532, Val acc: 60.55%, Val loss: 1.2429
Epoch 43/100, Train acc: 68.3761%, Train loss: 0.9287, Val acc: 60.74%, Val loss: 1.2523
Epoch 44/100, Train acc: 68.6830%, Train loss: 0.9271, Val acc: 61.62%, Val loss: 1.2386
Epoch 45/100, Train acc: 69.2522%, Train loss: 0.9017, Val acc: 62.30%, Val loss: 1.2088
Epoch 46/100, Train acc: 69.8828%, Train loss: 0.8938, Val acc: 60.84%, Val loss: 1.2416
Epoch 47/100, Train acc: 69.9833%, Train loss: 0.8860, Val acc: 60.55%, Val loss: 1.2633
Epoch 48/100, Train acc: 69.4252%, Train loss: 0.8975, Val acc: 62.01%, Val loss: 1.2240
Epoch 49/100, Train acc: 71.2054%, Train loss: 0.8525, Val acc: 61.43%, Val loss: 1.3008
Epoch 50/100, Train acc: 71.5904%, Train loss: 0.8445, Val acc: 63.48%, Val loss: 1.2171
Epoch 51/100, Train acc: 71.0714%, Train loss: 0.8578, Val acc: 60.16%, Val loss: 1.2470
Epoch 52/100, Train acc: 72.2210%, Train loss: 0.8235, Val acc: 59.77%, Val loss: 1.3005
Epoch 53/100, Train acc: 72.8069%, Train loss: 0.8102, Val acc: 61.82%, Val loss: 1.2647
Epoch 54/100, Train acc: 72.7567%, Train loss: 0.7979, Val acc: 62.11%, Val loss: 1.2309
Epoch 55/100, Train acc: 73.2812%, Train loss: 0.7851, Val acc: 62.50%, Val loss: 1.2586
Epoch 56/100, Train acc: 73.9565%, Train loss: 0.7733, Val acc: 63.87%, Val loss: 1.2058
Epoch 57/100, Train acc: 74.1853%, Train loss: 0.7597, Val acc: 62.79%, Val loss: 1.2008
Epoch 58/100, Train acc: 74.6484%, Train loss: 0.7611, Val acc: 62.40%, Val loss: 1.2852
Epoch 59/100, Train acc: 75.1786%, Train loss: 0.7306, Val acc: 63.87%, Val loss: 1.2327
Epoch 60/100, Train acc: 75.6250%, Train loss: 0.7282, Val acc: 62.89%, Val loss: 1.2310
