Epoch 0/100, Blur train acc: 8.3426%, Blur train loss: 2.4863, Blur val acc: 9.57%, Blur val loss: 2.4876
Epoch 1/100, Blur train acc: 22.6228%, Blur train loss: 2.2266, Blur val acc: 18.95%, Blur val loss: 2.2159
Epoch 2/100, Blur train acc: 26.6797%, Blur train loss: 2.1599, Blur val acc: 30.57%, Blur val loss: 2.0318
Epoch 3/100, Blur train acc: 31.4118%, Blur train loss: 1.9921, Blur val acc: 33.30%, Blur val loss: 1.8936
Epoch 4/100, Blur train acc: 33.8560%, Blur train loss: 1.9213, Blur val acc: 38.57%, Blur val loss: 1.9037
Epoch 5/100, Blur train acc: 37.3270%, Blur train loss: 1.8400, Blur val acc: 39.84%, Blur val loss: 1.8988
Epoch 6/100, Blur train acc: 40.9375%, Blur train loss: 1.7628, Blur val acc: 42.77%, Blur val loss: 1.7819
Epoch 7/100, Blur train acc: 42.9799%, Blur train loss: 1.6557, Blur val acc: 40.72%, Blur val loss: 1.9972
Epoch 8/100, Blur train acc: 43.8895%, Blur train loss: 1.6432, Blur val acc: 43.36%, Blur val loss: 1.9975
Epoch 9/100, Blur train acc: 46.2779%, Blur train loss: 1.5705, Blur val acc: 45.51%, Blur val loss: 1.9354
Epoch 10/100, Blur train acc: 47.8627%, Blur train loss: 1.5295, Blur val acc: 42.19%, Blur val loss: 2.1564
Epoch 11/100, Blur train acc: 49.2801%, Blur train loss: 1.5130, Blur val acc: 44.53%, Blur val loss: 1.9512
Epoch 12/100, Blur train acc: 50.6864%, Blur train loss: 1.4588, Blur val acc: 46.68%, Blur val loss: 2.1905
Epoch 13/100, Blur train acc: 51.0156%, Blur train loss: 1.4434, Blur val acc: 41.31%, Blur val loss: 2.5539
Epoch 14/100, Blur train acc: 51.9810%, Blur train loss: 1.4005, Blur val acc: 43.46%, Blur val loss: 2.1940
Epoch 15/100, Blur train acc: 53.3315%, Blur train loss: 1.3820, Blur val acc: 43.55%, Blur val loss: 2.2130
Epoch 16/100, Blur train acc: 53.8616%, Blur train loss: 1.3651, Blur val acc: 46.68%, Blur val loss: 2.3262
Epoch 17/100, Blur train acc: 54.8884%, Blur train loss: 1.3305, Blur val acc: 44.63%, Blur val loss: 2.7912
Epoch 18/100, Blur train acc: 53.9509%, Blur train loss: 1.3580, Blur val acc: 45.70%, Blur val loss: 2.4644
Epoch 19/100, Blur train acc: 56.9196%, Blur train loss: 1.2734, Blur val acc: 47.95%, Blur val loss: 2.3168
Epoch 20/100, Blur train acc: 56.7690%, Blur train loss: 1.2810, Blur val acc: 46.88%, Blur val loss: 2.4601
Epoch 21/100, Blur train acc: 58.8895%, Blur train loss: 1.2169, Blur val acc: 59.38%, Blur val loss: 1.3279
Epoch 22/100, Blur train acc: 59.2467%, Blur train loss: 1.2179, Blur val acc: 54.79%, Blur val loss: 1.3817
Epoch 23/100, Blur train acc: 59.6875%, Blur train loss: 1.1741, Blur val acc: 54.39%, Blur val loss: 1.4265
Epoch 24/100, Blur train acc: 61.3225%, Blur train loss: 1.1465, Blur val acc: 60.06%, Blur val loss: 1.2966
Epoch 25/100, Blur train acc: 62.1763%, Blur train loss: 1.1197, Blur val acc: 58.11%, Blur val loss: 1.3573
Epoch 26/100, Blur train acc: 64.0513%, Blur train loss: 1.0642, Blur val acc: 60.16%, Blur val loss: 1.2916
Epoch 27/100, Blur train acc: 64.4141%, Blur train loss: 1.0543, Blur val acc: 58.59%, Blur val loss: 1.4053
Epoch 28/100, Blur train acc: 63.9955%, Blur train loss: 1.0470, Blur val acc: 59.47%, Blur val loss: 1.3236
Epoch 29/100, Blur train acc: 65.3125%, Blur train loss: 1.0220, Blur val acc: 60.55%, Blur val loss: 1.3433
Epoch 30/100, Blur train acc: 64.0290%, Blur train loss: 1.0453, Blur val acc: 59.86%, Blur val loss: 1.3274
Epoch 31/100, Blur train acc: 66.0882%, Blur train loss: 1.0055, Blur val acc: 61.43%, Blur val loss: 1.2898
Epoch 32/100, Blur train acc: 67.3772%, Blur train loss: 0.9576, Blur val acc: 61.72%, Blur val loss: 1.3988
Epoch 33/100, Blur train acc: 66.1719%, Blur train loss: 0.9842, Blur val acc: 59.38%, Blur val loss: 1.4468
Epoch 34/100, Blur train acc: 67.6004%, Blur train loss: 0.9545, Blur val acc: 56.93%, Blur val loss: 1.6065
Epoch 35/100, Blur train acc: 68.9676%, Blur train loss: 0.9166, Blur val acc: 61.91%, Blur val loss: 1.3861
Epoch 36/100, Blur train acc: 68.4263%, Blur train loss: 0.9202, Blur val acc: 58.89%, Blur val loss: 1.4455
Epoch 37/100, Blur train acc: 68.9342%, Blur train loss: 0.9190, Blur val acc: 60.16%, Blur val loss: 1.4668
Epoch 38/100, Blur train acc: 69.8270%, Blur train loss: 0.8824, Blur val acc: 59.08%, Blur val loss: 1.4538
Epoch 39/100, Blur train acc: 70.4520%, Blur train loss: 0.8701, Blur val acc: 61.13%, Blur val loss: 1.4230
Epoch 40/100, Blur train acc: 69.8661%, Blur train loss: 0.8794, Blur val acc: 59.28%, Blur val loss: 1.5105
Epoch 41/100, Blur train acc: 69.5480%, Blur train loss: 0.9103, Blur val acc: 63.38%, Blur val loss: 1.2011
Epoch 42/100, Blur train acc: 71.7411%, Blur train loss: 0.8358, Blur val acc: 64.55%, Blur val loss: 1.1436
Epoch 43/100, Blur train acc: 71.1496%, Blur train loss: 0.8371, Blur val acc: 63.57%, Blur val loss: 1.1901
Epoch 44/100, Blur train acc: 72.9632%, Blur train loss: 0.7971, Blur val acc: 64.84%, Blur val loss: 1.1557
Epoch 45/100, Blur train acc: 72.8795%, Blur train loss: 0.7923, Blur val acc: 64.06%, Blur val loss: 1.1825
