Epoch 0/100, Clear train acc: 8.5435%, Clear train loss: 2.4950, Clear val acc: 11.13%, Clear val loss: 2.4967
Epoch 1/100, Clear train acc: 26.4565%, Clear train loss: 2.1317, Clear val acc: 26.17%, Clear val loss: 2.0933
Epoch 2/100, Clear train acc: 32.2879%, Clear train loss: 2.0570, Clear val acc: 39.16%, Clear val loss: 1.9850
Epoch 3/100, Clear train acc: 36.1942%, Clear train loss: 1.8635, Clear val acc: 41.21%, Clear val loss: 1.7394
Epoch 4/100, Clear train acc: 41.3951%, Clear train loss: 1.7130, Clear val acc: 45.80%, Clear val loss: 1.5851
Epoch 5/100, Clear train acc: 48.9174%, Clear train loss: 1.5283, Clear val acc: 49.80%, Clear val loss: 1.4510
Epoch 6/100, Clear train acc: 51.1998%, Clear train loss: 1.4330, Clear val acc: 53.42%, Clear val loss: 1.3134
Epoch 7/100, Clear train acc: 51.7411%, Clear train loss: 1.4174, Clear val acc: 57.62%, Clear val loss: 1.2914
Epoch 8/100, Clear train acc: 55.1842%, Clear train loss: 1.3279, Clear val acc: 58.59%, Clear val loss: 1.2066
Epoch 9/100, Clear train acc: 57.8404%, Clear train loss: 1.2408, Clear val acc: 59.57%, Clear val loss: 1.1883
Epoch 10/100, Clear train acc: 60.0781%, Clear train loss: 1.1861, Clear val acc: 62.01%, Clear val loss: 1.1096
Epoch 11/100, Clear train acc: 60.7031%, Clear train loss: 1.1638, Clear val acc: 65.04%, Clear val loss: 1.0411
Epoch 12/100, Clear train acc: 62.1763%, Clear train loss: 1.1051, Clear val acc: 65.43%, Clear val loss: 1.0403
Epoch 13/100, Clear train acc: 62.7121%, Clear train loss: 1.1066, Clear val acc: 63.28%, Clear val loss: 1.1234
Epoch 14/100, Clear train acc: 65.4799%, Clear train loss: 1.0299, Clear val acc: 65.23%, Clear val loss: 1.0442
Epoch 15/100, Clear train acc: 65.2288%, Clear train loss: 1.0131, Clear val acc: 65.33%, Clear val loss: 1.0549
Epoch 16/100, Clear train acc: 65.3906%, Clear train loss: 1.0113, Clear val acc: 67.87%, Clear val loss: 0.9938
Epoch 17/100, Clear train acc: 67.6842%, Clear train loss: 0.9542, Clear val acc: 68.36%, Clear val loss: 0.9420
Epoch 18/100, Clear train acc: 68.0078%, Clear train loss: 0.9449, Clear val acc: 68.95%, Clear val loss: 0.9435
Epoch 19/100, Clear train acc: 68.8895%, Clear train loss: 0.9239, Clear val acc: 69.34%, Clear val loss: 0.9519
Epoch 20/100, Clear train acc: 69.4754%, Clear train loss: 0.8939, Clear val acc: 68.95%, Clear val loss: 0.8805
Epoch 21/100, Clear train acc: 69.8438%, Clear train loss: 0.8882, Clear val acc: 69.92%, Clear val loss: 0.9476
Epoch 22/100, Clear train acc: 69.6094%, Clear train loss: 0.8929, Clear val acc: 67.87%, Clear val loss: 0.9684
Epoch 23/100, Clear train acc: 71.1384%, Clear train loss: 0.8517, Clear val acc: 69.73%, Clear val loss: 0.9151
Epoch 24/100, Clear train acc: 69.7545%, Clear train loss: 0.8899, Clear val acc: 68.46%, Clear val loss: 1.0048
Epoch 25/100, Clear train acc: 71.9922%, Clear train loss: 0.8203, Clear val acc: 69.73%, Clear val loss: 0.9428
Epoch 26/100, Clear train acc: 73.4766%, Clear train loss: 0.7766, Clear val acc: 69.82%, Clear val loss: 0.9227
Epoch 27/100, Clear train acc: 73.2031%, Clear train loss: 0.7790, Clear val acc: 69.43%, Clear val loss: 0.9621
Epoch 28/100, Clear train acc: 71.9978%, Clear train loss: 0.8136, Clear val acc: 69.82%, Clear val loss: 0.9084
Epoch 29/100, Clear train acc: 73.6942%, Clear train loss: 0.7684, Clear val acc: 70.70%, Clear val loss: 0.9264
Epoch 30/100, Clear train acc: 74.3862%, Clear train loss: 0.7529, Clear val acc: 70.31%, Clear val loss: 0.9188
Epoch 31/100, Clear train acc: 74.2801%, Clear train loss: 0.7510, Clear val acc: 71.00%, Clear val loss: 0.9477
Epoch 32/100, Clear train acc: 75.1451%, Clear train loss: 0.7243, Clear val acc: 70.21%, Clear val loss: 0.9145
Epoch 33/100, Clear train acc: 76.0379%, Clear train loss: 0.7144, Clear val acc: 72.85%, Clear val loss: 0.8940
Epoch 34/100, Clear train acc: 77.2600%, Clear train loss: 0.6714, Clear val acc: 74.51%, Clear val loss: 0.8186
Epoch 35/100, Clear train acc: 76.6964%, Clear train loss: 0.6904, Clear val acc: 70.61%, Clear val loss: 0.9291
Epoch 36/100, Clear train acc: 77.4275%, Clear train loss: 0.6679, Clear val acc: 71.58%, Clear val loss: 0.9063
