Epoch 0/50, Train acc: 0.3434%, Train loss: 5.6966, Val acc: 0.57%, Val loss: 5.6974
Epoch 1/50, Train acc: 1.8630%, Train loss: 5.4833, Val acc: 1.88%, Val loss: 5.4941
Epoch 2/50, Train acc: 5.0438%, Train loss: 4.9134, Val acc: 4.87%, Val loss: 4.9066
Epoch 3/50, Train acc: 11.2680%, Train loss: 4.2999, Val acc: 11.47%, Val loss: 4.2885
Epoch 4/50, Train acc: 22.5275%, Train loss: 3.5985, Val acc: 22.66%, Val loss: 3.5265
Epoch 5/50, Train acc: 32.4734%, Train loss: 3.0204, Val acc: 33.42%, Val loss: 2.9689
Epoch 6/50, Train acc: 42.5438%, Train loss: 2.5316, Val acc: 41.02%, Val loss: 2.5957
Epoch 7/50, Train acc: 47.0982%, Train loss: 2.2891, Val acc: 46.13%, Val loss: 2.3374
Epoch 8/50, Train acc: 54.5458%, Train loss: 1.9418, Val acc: 53.27%, Val loss: 2.0640
Epoch 9/50, Train acc: 57.4090%, Train loss: 1.8197, Val acc: 54.97%, Val loss: 1.9602
Epoch 10/50, Train acc: 61.8261%, Train loss: 1.5902, Val acc: 56.53%, Val loss: 1.8595
Epoch 11/50, Train acc: 64.8094%, Train loss: 1.4539, Val acc: 59.27%, Val loss: 1.7471
Epoch 12/50, Train acc: 68.0203%, Train loss: 1.3122, Val acc: 62.29%, Val loss: 1.6369
Epoch 13/50, Train acc: 69.6214%, Train loss: 1.2359, Val acc: 63.57%, Val loss: 1.6115
Epoch 14/50, Train acc: 71.0766%, Train loss: 1.1675, Val acc: 63.28%, Val loss: 1.6721
Epoch 15/50, Train acc: 73.2572%, Train loss: 1.0706, Val acc: 66.41%, Val loss: 1.5103
Epoch 16/50, Train acc: 76.3607%, Train loss: 0.9513, Val acc: 68.75%, Val loss: 1.4055
Epoch 17/50, Train acc: 77.1592%, Train loss: 0.8960, Val acc: 66.51%, Val loss: 1.4992
Epoch 18/50, Train acc: 78.0778%, Train loss: 0.8553, Val acc: 69.67%, Val loss: 1.3360
Epoch 19/50, Train acc: 78.9964%, Train loss: 0.8187, Val acc: 69.07%, Val loss: 1.3991
Epoch 20/50, Train acc: 80.3142%, Train loss: 0.7701, Val acc: 69.32%, Val loss: 1.3621
Epoch 21/50, Train acc: 81.4303%, Train loss: 0.7197, Val acc: 69.92%, Val loss: 1.3458
Epoch 22/50, Train acc: 82.7009%, Train loss: 0.6706, Val acc: 70.77%, Val loss: 1.3130
Epoch 23/50, Train acc: 83.4693%, Train loss: 0.6407, Val acc: 71.56%, Val loss: 1.3132
Epoch 24/50, Train acc: 84.6969%, Train loss: 0.5830, Val acc: 72.44%, Val loss: 1.2663
Epoch 25/50, Train acc: 86.0276%, Train loss: 0.5443, Val acc: 72.62%, Val loss: 1.2821
Epoch 26/50, Train acc: 86.3410%, Train loss: 0.5170, Val acc: 72.37%, Val loss: 1.2821
Epoch 27/50, Train acc: 86.6372%, Train loss: 0.5069, Val acc: 73.44%, Val loss: 1.2551
Epoch 28/50, Train acc: 88.2126%, Train loss: 0.4472, Val acc: 74.64%, Val loss: 1.2204
Epoch 29/50, Train acc: 87.6803%, Train loss: 0.4685, Val acc: 73.40%, Val loss: 1.2602
Epoch 30/50, Train acc: 88.7964%, Train loss: 0.4318, Val acc: 74.96%, Val loss: 1.2104
Epoch 31/50, Train acc: 89.1398%, Train loss: 0.4117, Val acc: 74.72%, Val loss: 1.2851
Epoch 32/50, Train acc: 89.5733%, Train loss: 0.3945, Val acc: 75.28%, Val loss: 1.2052
Epoch 33/50, Train acc: 90.2473%, Train loss: 0.3697, Val acc: 75.57%, Val loss: 1.2256
