Epoch 0/100, Blur train acc: 0.3134%, Blur train loss: 5.6959, Blur val acc: 0.39%, Blur val loss: 5.7032
Epoch 1/100, Blur train acc: 1.5453%, Blur train loss: 5.5300, Blur val acc: 1.17%, Blur val loss: 5.5312
Epoch 2/100, Blur train acc: 4.3570%, Blur train loss: 4.9441, Blur val acc: 2.91%, Blur val loss: 5.3051
Epoch 3/100, Blur train acc: 11.1135%, Blur train loss: 4.3047, Blur val acc: 7.42%, Blur val loss: 5.3260
Epoch 4/100, Blur train acc: 22.7121%, Blur train loss: 3.5623, Blur val acc: 10.76%, Blur val loss: 5.3067
Epoch 5/100, Blur train acc: 33.0185%, Blur train loss: 3.0143, Blur val acc: 10.65%, Blur val loss: 6.2369
Epoch 6/100, Blur train acc: 42.1188%, Blur train loss: 2.5580, Blur val acc: 15.55%, Blur val loss: 5.6074
Epoch 7/100, Blur train acc: 48.3903%, Blur train loss: 2.2195, Blur val acc: 17.79%, Blur val loss: 5.8705
Epoch 8/100, Blur train acc: 55.6963%, Blur train loss: 1.9055, Blur val acc: 16.30%, Blur val loss: 6.4152
Epoch 9/100, Blur train acc: 59.1003%, Blur train loss: 1.7117, Blur val acc: 17.58%, Blur val loss: 6.5142
Epoch 10/100, Blur train acc: 61.9634%, Blur train loss: 1.6035, Blur val acc: 20.10%, Blur val loss: 6.2777
Epoch 11/100, Blur train acc: 64.1741%, Blur train loss: 1.4830, Blur val acc: 16.69%, Blur val loss: 7.2879
Epoch 12/100, Blur train acc: 67.6339%, Blur train loss: 1.3157, Blur val acc: 19.50%, Blur val loss: 6.8751
Epoch 13/100, Blur train acc: 69.5270%, Blur train loss: 1.2299, Blur val acc: 19.14%, Blur val loss: 7.5137
Epoch 14/100, Blur train acc: 72.2785%, Blur train loss: 1.1232, Blur val acc: 17.68%, Blur val loss: 8.4985
Epoch 15/100, Blur train acc: 73.4246%, Blur train loss: 1.0648, Blur val acc: 18.57%, Blur val loss: 8.6990
Epoch 16/100, Blur train acc: 73.9784%, Blur train loss: 1.0464, Blur val acc: 20.31%, Blur val loss: 7.6744
Epoch 17/100, Blur train acc: 75.3262%, Blur train loss: 0.9759, Blur val acc: 19.14%, Blur val loss: 8.5635
Epoch 18/100, Blur train acc: 75.2747%, Blur train loss: 0.9723, Blur val acc: 19.82%, Blur val loss: 8.5891
Epoch 19/100, Blur train acc: 77.3309%, Blur train loss: 0.8916, Blur val acc: 15.38%, Blur val loss: 9.1316
Epoch 20/100, Blur train acc: 77.6957%, Blur train loss: 0.8568, Blur val acc: 14.03%, Blur val loss: 9.5842
Epoch 21/100, Blur train acc: 77.8674%, Blur train loss: 0.8687, Blur val acc: 59.84%, Blur val loss: 1.8792
Epoch 22/100, Blur train acc: 81.1470%, Blur train loss: 0.7459, Blur val acc: 64.70%, Blur val loss: 1.7072
Epoch 23/100, Blur train acc: 81.3745%, Blur train loss: 0.7178, Blur val acc: 63.21%, Blur val loss: 1.7614
Epoch 24/100, Blur train acc: 82.3618%, Blur train loss: 0.6899, Blur val acc: 63.74%, Blur val loss: 1.7656
Epoch 25/100, Blur train acc: 82.9713%, Blur train loss: 0.6436, Blur val acc: 64.17%, Blur val loss: 1.6986
Epoch 26/100, Blur train acc: 83.6839%, Blur train loss: 0.6289, Blur val acc: 64.91%, Blur val loss: 1.8382
Epoch 27/100, Blur train acc: 84.3278%, Blur train loss: 0.6013, Blur val acc: 65.34%, Blur val loss: 1.7673
Epoch 28/100, Blur train acc: 85.4610%, Blur train loss: 0.5581, Blur val acc: 66.55%, Blur val loss: 1.6904
Epoch 29/100, Blur train acc: 85.4267%, Blur train loss: 0.5513, Blur val acc: 67.29%, Blur val loss: 1.5945
Epoch 30/100, Blur train acc: 85.7229%, Blur train loss: 0.5430, Blur val acc: 69.96%, Blur val loss: 1.5316
Epoch 31/100, Blur train acc: 87.0235%, Blur train loss: 0.4981, Blur val acc: 67.05%, Blur val loss: 1.6462
Epoch 32/100, Blur train acc: 87.0364%, Blur train loss: 0.4852, Blur val acc: 65.70%, Blur val loss: 1.8009
Epoch 33/100, Blur train acc: 87.8348%, Blur train loss: 0.4646, Blur val acc: 68.04%, Blur val loss: 1.6986
Epoch 34/100, Blur train acc: 88.1439%, Blur train loss: 0.4455, Blur val acc: 68.11%, Blur val loss: 1.6676
Epoch 35/100, Blur train acc: 88.2812%, Blur train loss: 0.4380, Blur val acc: 70.70%, Blur val loss: 1.6380
Epoch 36/100, Blur train acc: 88.9423%, Blur train loss: 0.4086, Blur val acc: 67.61%, Blur val loss: 1.7677
Epoch 37/100, Blur train acc: 88.6805%, Blur train loss: 0.4198, Blur val acc: 68.32%, Blur val loss: 1.6937
Epoch 38/100, Blur train acc: 89.0711%, Blur train loss: 0.4042, Blur val acc: 66.80%, Blur val loss: 1.8536
Epoch 39/100, Blur train acc: 89.5905%, Blur train loss: 0.3864, Blur val acc: 65.59%, Blur val loss: 2.0115
Epoch 40/100, Blur train acc: 89.5819%, Blur train loss: 0.3897, Blur val acc: 68.18%, Blur val loss: 1.7295
Epoch 41/100, Blur train acc: 89.4617%, Blur train loss: 0.3851, Blur val acc: 75.36%, Blur val loss: 1.2468
Epoch 42/100, Blur train acc: 89.0539%, Blur train loss: 0.4054, Blur val acc: 75.67%, Blur val loss: 1.2490
Epoch 43/100, Blur train acc: 90.5649%, Blur train loss: 0.3482, Blur val acc: 77.59%, Blur val loss: 1.2107
Epoch 44/100, Blur train acc: 89.6248%, Blur train loss: 0.3878, Blur val acc: 76.49%, Blur val loss: 1.2781
Epoch 45/100, Blur train acc: 90.4791%, Blur train loss: 0.3573, Blur val acc: 76.81%, Blur val loss: 1.1296
Epoch 46/100, Blur train acc: 91.4406%, Blur train loss: 0.3150, Blur val acc: 79.12%, Blur val loss: 1.1415
Epoch 47/100, Blur train acc: 91.5565%, Blur train loss: 0.3120, Blur val acc: 78.91%, Blur val loss: 1.1111
Epoch 48/100, Blur train acc: 92.1102%, Blur train loss: 0.2900, Blur val acc: 78.16%, Blur val loss: 1.1960
Epoch 49/100, Blur train acc: 92.1403%, Blur train loss: 0.2881, Blur val acc: 79.55%, Blur val loss: 1.0794
Epoch 50/100, Blur train acc: 92.4279%, Blur train loss: 0.2791, Blur val acc: 79.12%, Blur val loss: 1.1615
Epoch 51/100, Blur train acc: 92.5610%, Blur train loss: 0.2601, Blur val acc: 79.01%, Blur val loss: 1.0971
Epoch 52/100, Blur train acc: 91.3333%, Blur train loss: 0.3117, Blur val acc: 76.74%, Blur val loss: 1.2367
Epoch 53/100, Blur train acc: 93.3551%, Blur train loss: 0.2445, Blur val acc: 78.62%, Blur val loss: 1.1649
Epoch 54/100, Blur train acc: 93.6556%, Blur train loss: 0.2325, Blur val acc: 79.65%, Blur val loss: 1.0738
Epoch 55/100, Blur train acc: 93.5611%, Blur train loss: 0.2352, Blur val acc: 80.36%, Blur val loss: 1.0531
Epoch 56/100, Blur train acc: 94.0247%, Blur train loss: 0.2172, Blur val acc: 80.58%, Blur val loss: 1.0542
Epoch 57/100, Blur train acc: 94.0762%, Blur train loss: 0.2136, Blur val acc: 80.50%, Blur val loss: 1.0513
Epoch 58/100, Blur train acc: 94.2952%, Blur train loss: 0.2119, Blur val acc: 80.61%, Blur val loss: 1.0397
Epoch 59/100, Blur train acc: 94.3681%, Blur train loss: 0.2024, Blur val acc: 81.25%, Blur val loss: 1.0528
Epoch 60/100, Blur train acc: 94.6085%, Blur train loss: 0.1991, Blur val acc: 80.08%, Blur val loss: 1.0756
Epoch 61/100, Blur train acc: 94.1664%, Blur train loss: 0.2105, Blur val acc: 80.18%, Blur val loss: 1.0711
Epoch 62/100, Blur train acc: 94.7115%, Blur train loss: 0.1915, Blur val acc: 81.36%, Blur val loss: 1.0120
Epoch 63/100, Blur train acc: 94.6557%, Blur train loss: 0.1990, Blur val acc: 81.85%, Blur val loss: 0.9935
Epoch 64/100, Blur train acc: 95.3683%, Blur train loss: 0.1741, Blur val acc: 82.39%, Blur val loss: 0.9618
Epoch 65/100, Blur train acc: 94.8446%, Blur train loss: 0.1870, Blur val acc: 82.00%, Blur val loss: 0.9976
Epoch 66/100, Blur train acc: 95.4370%, Blur train loss: 0.1643, Blur val acc: 81.21%, Blur val loss: 1.0185
Epoch 67/100, Blur train acc: 95.4198%, Blur train loss: 0.1700, Blur val acc: 81.89%, Blur val loss: 1.0019
Epoch 68/100, Blur train acc: 95.5615%, Blur train loss: 0.1607, Blur val acc: 82.07%, Blur val loss: 1.0180
