Epoch 0/100, Clear train acc: 0.3820%, Clear train loss: 5.7001, Clear val acc: 0.28%, Clear val loss: 5.6991
Epoch 1/100, Clear train acc: 1.5582%, Clear train loss: 5.5323, Clear val acc: 2.06%, Clear val loss: 5.5084
Epoch 2/100, Clear train acc: 5.7134%, Clear train loss: 4.8427, Clear val acc: 6.11%, Clear val loss: 4.7832
Epoch 3/100, Clear train acc: 16.6252%, Clear train loss: 3.9055, Clear val acc: 17.51%, Clear val loss: 3.8305
Epoch 4/100, Clear train acc: 31.7394%, Clear train loss: 3.0445, Clear val acc: 35.44%, Clear val loss: 2.8830
Epoch 5/100, Clear train acc: 45.1236%, Clear train loss: 2.3536, Clear val acc: 47.44%, Clear val loss: 2.2693
Epoch 6/100, Clear train acc: 56.4775%, Clear train loss: 1.8121, Clear val acc: 57.74%, Clear val loss: 1.7768
Epoch 7/100, Clear train acc: 64.2127%, Clear train loss: 1.4527, Clear val acc: 63.78%, Clear val loss: 1.5328
Epoch 8/100, Clear train acc: 69.1320%, Clear train loss: 1.2605, Clear val acc: 69.57%, Clear val loss: 1.3175
Epoch 9/100, Clear train acc: 73.2744%, Clear train loss: 1.0878, Clear val acc: 70.85%, Clear val loss: 1.2587
Epoch 10/100, Clear train acc: 74.2145%, Clear train loss: 1.0314, Clear val acc: 71.45%, Clear val loss: 1.2022
Epoch 11/100, Clear train acc: 75.9014%, Clear train loss: 0.9540, Clear val acc: 71.70%, Clear val loss: 1.1764
Epoch 12/100, Clear train acc: 78.3954%, Clear train loss: 0.8424, Clear val acc: 73.97%, Clear val loss: 1.0954
Epoch 13/100, Clear train acc: 79.7433%, Clear train loss: 0.7916, Clear val acc: 76.67%, Clear val loss: 1.0509
Epoch 14/100, Clear train acc: 81.6363%, Clear train loss: 0.7032, Clear val acc: 76.17%, Clear val loss: 1.0407
Epoch 15/100, Clear train acc: 82.2072%, Clear train loss: 0.6813, Clear val acc: 76.42%, Clear val loss: 1.0673
Epoch 16/100, Clear train acc: 84.6669%, Clear train loss: 0.5838, Clear val acc: 78.27%, Clear val loss: 0.9546
Epoch 17/100, Clear train acc: 83.9457%, Clear train loss: 0.6101, Clear val acc: 76.85%, Clear val loss: 1.0289
Epoch 18/100, Clear train acc: 85.7014%, Clear train loss: 0.5386, Clear val acc: 77.91%, Clear val loss: 0.9840
Epoch 19/100, Clear train acc: 86.6286%, Clear train loss: 0.5022, Clear val acc: 78.48%, Clear val loss: 0.9803
Epoch 20/100, Clear train acc: 87.2639%, Clear train loss: 0.4778, Clear val acc: 80.43%, Clear val loss: 0.9302
Epoch 21/100, Clear train acc: 87.0965%, Clear train loss: 0.4737, Clear val acc: 79.15%, Clear val loss: 0.9370
Epoch 22/100, Clear train acc: 87.5000%, Clear train loss: 0.4648, Clear val acc: 79.55%, Clear val loss: 0.9612
Epoch 23/100, Clear train acc: 88.5345%, Clear train loss: 0.4309, Clear val acc: 81.00%, Clear val loss: 0.8867
Epoch 24/100, Clear train acc: 88.3199%, Clear train loss: 0.4357, Clear val acc: 81.25%, Clear val loss: 0.9918
Epoch 25/100, Clear train acc: 88.4487%, Clear train loss: 0.4358, Clear val acc: 80.47%, Clear val loss: 0.9581
Epoch 26/100, Clear train acc: 89.7021%, Clear train loss: 0.3775, Clear val acc: 80.33%, Clear val loss: 0.9245
Epoch 27/100, Clear train acc: 89.2213%, Clear train loss: 0.3904, Clear val acc: 79.33%, Clear val loss: 0.9593
Epoch 28/100, Clear train acc: 90.0026%, Clear train loss: 0.3666, Clear val acc: 80.58%, Clear val loss: 0.9095
Epoch 29/100, Clear train acc: 88.8007%, Clear train loss: 0.4113, Clear val acc: 80.11%, Clear val loss: 0.9475
Epoch 30/100, Clear train acc: 90.8525%, Clear train loss: 0.3380, Clear val acc: 81.21%, Clear val loss: 0.8822
Epoch 31/100, Clear train acc: 90.1528%, Clear train loss: 0.3723, Clear val acc: 81.25%, Clear val loss: 0.9913
Epoch 32/100, Clear train acc: 91.2989%, Clear train loss: 0.3289, Clear val acc: 81.61%, Clear val loss: 0.9418
Epoch 33/100, Clear train acc: 90.5992%, Clear train loss: 0.3379, Clear val acc: 82.32%, Clear val loss: 0.9093
Epoch 34/100, Clear train acc: 91.3504%, Clear train loss: 0.3123, Clear val acc: 82.21%, Clear val loss: 0.8978
Epoch 35/100, Clear train acc: 92.2991%, Clear train loss: 0.2774, Clear val acc: 82.81%, Clear val loss: 0.9132
Epoch 36/100, Clear train acc: 92.3377%, Clear train loss: 0.2794, Clear val acc: 82.24%, Clear val loss: 0.9439
Epoch 37/100, Clear train acc: 91.7625%, Clear train loss: 0.3030, Clear val acc: 81.46%, Clear val loss: 1.0107
