Epoch 0/100, Train acc: 8.2506%, Train loss: 2.4856, Val acc: 8.92%, Val loss: 2.4866
Epoch 1/100, Train acc: 34.4280%, Train loss: 1.9396, Val acc: 31.45%, Val loss: 2.0773
Epoch 2/100, Train acc: 42.6674%, Train loss: 1.7152, Val acc: 39.05%, Val loss: 1.9303
Epoch 3/100, Train acc: 49.0374%, Train loss: 1.4988, Val acc: 39.91%, Val loss: 2.0373
Epoch 4/100, Train acc: 52.9548%, Train loss: 1.3880, Val acc: 39.89%, Val loss: 1.8918
Epoch 5/100, Train acc: 58.1585%, Train loss: 1.2511, Val acc: 41.31%, Val loss: 1.8053
Epoch 6/100, Train acc: 60.9849%, Train loss: 1.1590, Val acc: 45.76%, Val loss: 1.7456
Epoch 7/100, Train acc: 63.9872%, Train loss: 1.0751, Val acc: 45.68%, Val loss: 1.9268
Epoch 8/100, Train acc: 65.0642%, Train loss: 1.0429, Val acc: 45.29%, Val loss: 1.9098
Epoch 9/100, Train acc: 66.6825%, Train loss: 1.0065, Val acc: 45.27%, Val loss: 1.8293
Epoch 10/100, Train acc: 68.9258%, Train loss: 0.9272, Val acc: 47.27%, Val loss: 1.7827
Epoch 11/100, Train acc: 68.3259%, Train loss: 0.9461, Val acc: 45.41%, Val loss: 1.8226
Epoch 12/100, Train acc: 71.2026%, Train loss: 0.8724, Val acc: 46.84%, Val loss: 2.0083
Epoch 13/100, Train acc: 71.7746%, Train loss: 0.8494, Val acc: 43.96%, Val loss: 2.1136
Epoch 14/100, Train acc: 72.1094%, Train loss: 0.8337, Val acc: 46.93%, Val loss: 1.9302
Epoch 15/100, Train acc: 73.7695%, Train loss: 0.7920, Val acc: 47.14%, Val loss: 2.0699
Epoch 16/100, Train acc: 75.5469%, Train loss: 0.7284, Val acc: 48.08%, Val loss: 2.1092
Epoch 17/100, Train acc: 74.6317%, Train loss: 0.7555, Val acc: 48.84%, Val loss: 1.9005
Epoch 18/100, Train acc: 76.6462%, Train loss: 0.6993, Val acc: 48.12%, Val loss: 1.9282
Epoch 19/100, Train acc: 76.8415%, Train loss: 0.6934, Val acc: 47.87%, Val loss: 1.9808
Epoch 20/100, Train acc: 75.9626%, Train loss: 0.7213, Val acc: 46.25%, Val loss: 2.1003
Epoch 21/100, Train acc: 77.6869%, Train loss: 0.6727, Val acc: 46.35%, Val loss: 2.1212
Epoch 22/100, Train acc: 78.9397%, Train loss: 0.6441, Val acc: 47.21%, Val loss: 1.9505
Epoch 23/100, Train acc: 78.1110%, Train loss: 0.6566, Val acc: 47.09%, Val loss: 2.2085
Epoch 24/100, Train acc: 78.2701%, Train loss: 0.6535, Val acc: 46.95%, Val loss: 2.0967
Epoch 25/100, Train acc: 79.1741%, Train loss: 0.6187, Val acc: 47.38%, Val loss: 2.1267
Epoch 26/100, Train acc: 80.1674%, Train loss: 0.6020, Val acc: 48.98%, Val loss: 1.9730
Epoch 27/100, Train acc: 78.9007%, Train loss: 0.6306, Val acc: 46.71%, Val loss: 2.0561
Epoch 28/100, Train acc: 79.6205%, Train loss: 0.6104, Val acc: 47.04%, Val loss: 2.2631
Epoch 29/100, Train acc: 80.3906%, Train loss: 0.5899, Val acc: 47.78%, Val loss: 2.1185
Epoch 30/100, Train acc: 79.9135%, Train loss: 0.6045, Val acc: 48.09%, Val loss: 2.1861
Epoch 31/100, Train acc: 81.3672%, Train loss: 0.5568, Val acc: 47.41%, Val loss: 2.2420
Epoch 32/100, Train acc: 81.4788%, Train loss: 0.5547, Val acc: 47.62%, Val loss: 2.2789
Epoch 33/100, Train acc: 81.6657%, Train loss: 0.5499, Val acc: 46.42%, Val loss: 2.2827
Epoch 34/100, Train acc: 82.4526%, Train loss: 0.5212, Val acc: 48.23%, Val loss: 2.2148
Epoch 35/100, Train acc: 82.1456%, Train loss: 0.5339, Val acc: 47.63%, Val loss: 2.3258
Epoch 36/100, Train acc: 83.3203%, Train loss: 0.5006, Val acc: 48.67%, Val loss: 2.2709
Epoch 37/100, Train acc: 82.5670%, Train loss: 0.5200, Val acc: 47.24%, Val loss: 2.5839
Epoch 38/100, Train acc: 83.0580%, Train loss: 0.5126, Val acc: 46.55%, Val loss: 2.5745
Epoch 39/100, Train acc: 83.9676%, Train loss: 0.4789, Val acc: 47.68%, Val loss: 2.3237
Epoch 40/100, Train acc: 83.3956%, Train loss: 0.5019, Val acc: 48.31%, Val loss: 2.3619
Epoch 41/100, Train acc: 83.2282%, Train loss: 0.4989, Val acc: 49.76%, Val loss: 2.1361
Epoch 42/100, Train acc: 84.2467%, Train loss: 0.4715, Val acc: 49.16%, Val loss: 2.1761
