Epoch 0/100, Blur train acc: 7.7093%, Blur train loss: 2.4918, Blur val acc: 7.10%, Blur val loss: 2.4949
Epoch 1/100, Blur train acc: 34.3136%, Blur train loss: 1.9341, Blur val acc: 29.52%, Blur val loss: 2.0960
Epoch 2/100, Blur train acc: 40.8454%, Blur train loss: 1.7376, Blur val acc: 30.98%, Blur val loss: 2.2660
Epoch 3/100, Blur train acc: 44.2634%, Blur train loss: 1.6298, Blur val acc: 26.44%, Blur val loss: 2.9512
Epoch 4/100, Blur train acc: 47.1624%, Blur train loss: 1.5602, Blur val acc: 27.22%, Blur val loss: 3.2123
Epoch 5/100, Blur train acc: 52.3968%, Blur train loss: 1.4144, Blur val acc: 33.83%, Blur val loss: 2.9497
Epoch 6/100, Blur train acc: 55.7254%, Blur train loss: 1.3222, Blur val acc: 30.03%, Blur val loss: 3.5345
Epoch 7/100, Blur train acc: 57.6116%, Blur train loss: 1.2671, Blur val acc: 30.72%, Blur val loss: 3.8902
Epoch 8/100, Blur train acc: 60.5943%, Blur train loss: 1.1907, Blur val acc: 33.16%, Blur val loss: 3.6865
Epoch 9/100, Blur train acc: 60.6557%, Blur train loss: 1.1831, Blur val acc: 33.59%, Blur val loss: 4.1518
Epoch 10/100, Blur train acc: 63.0804%, Blur train loss: 1.1106, Blur val acc: 29.99%, Blur val loss: 4.5273
Epoch 11/100, Blur train acc: 64.9442%, Blur train loss: 1.0694, Blur val acc: 34.91%, Blur val loss: 3.7911
Epoch 12/100, Blur train acc: 63.4766%, Blur train loss: 1.0800, Blur val acc: 29.66%, Blur val loss: 4.8478
Epoch 13/100, Blur train acc: 67.8599%, Blur train loss: 0.9822, Blur val acc: 31.95%, Blur val loss: 4.6128
Epoch 14/100, Blur train acc: 65.8566%, Blur train loss: 1.0240, Blur val acc: 32.06%, Blur val loss: 4.8892
Epoch 15/100, Blur train acc: 69.8270%, Blur train loss: 0.9153, Blur val acc: 34.77%, Blur val loss: 4.3875
Epoch 16/100, Blur train acc: 69.7573%, Blur train loss: 0.9108, Blur val acc: 31.17%, Blur val loss: 5.1782
Epoch 17/100, Blur train acc: 71.9810%, Blur train loss: 0.8534, Blur val acc: 33.85%, Blur val loss: 5.0212
Epoch 18/100, Blur train acc: 71.7718%, Blur train loss: 0.8580, Blur val acc: 33.37%, Blur val loss: 5.3143
Epoch 19/100, Blur train acc: 72.3438%, Blur train loss: 0.8443, Blur val acc: 35.32%, Blur val loss: 4.7639
Epoch 20/100, Blur train acc: 73.6189%, Blur train loss: 0.8042, Blur val acc: 31.20%, Blur val loss: 5.7906
Epoch 21/100, Blur train acc: 76.4844%, Blur train loss: 0.7176, Blur val acc: 42.09%, Blur val loss: 2.7126
Epoch 22/100, Blur train acc: 76.0993%, Blur train loss: 0.7183, Blur val acc: 45.46%, Blur val loss: 2.6884
Epoch 23/100, Blur train acc: 77.0145%, Blur train loss: 0.7002, Blur val acc: 42.73%, Blur val loss: 2.8986
Epoch 24/100, Blur train acc: 78.2701%, Blur train loss: 0.6601, Blur val acc: 46.94%, Blur val loss: 2.8425
Epoch 25/100, Blur train acc: 78.7779%, Blur train loss: 0.6436, Blur val acc: 45.85%, Blur val loss: 2.6700
Epoch 26/100, Blur train acc: 78.7388%, Blur train loss: 0.6394, Blur val acc: 43.19%, Blur val loss: 3.3212
