Epoch 0/100, Clear train acc: 8.3705%, Clear train loss: 2.4927, Clear val acc: 8.88%, Clear val loss: 2.4819
Epoch 1/100, Clear train acc: 40.7394%, Clear train loss: 1.7722, Clear val acc: 37.24%, Clear val loss: 1.8279
Epoch 2/100, Clear train acc: 46.4481%, Clear train loss: 1.5731, Clear val acc: 41.15%, Clear val loss: 1.8423
Epoch 3/100, Clear train acc: 53.8030%, Clear train loss: 1.3707, Clear val acc: 46.33%, Clear val loss: 1.7245
Epoch 4/100, Clear train acc: 59.4141%, Clear train loss: 1.2101, Clear val acc: 47.99%, Clear val loss: 1.6249
Epoch 5/100, Clear train acc: 60.5748%, Clear train loss: 1.1839, Clear val acc: 47.96%, Clear val loss: 1.6919
Epoch 6/100, Clear train acc: 64.5815%, Clear train loss: 1.0530, Clear val acc: 49.65%, Clear val loss: 1.7213
Epoch 7/100, Clear train acc: 66.3449%, Clear train loss: 1.0139, Clear val acc: 51.48%, Clear val loss: 1.6515
Epoch 8/100, Clear train acc: 68.9035%, Clear train loss: 0.9360, Clear val acc: 53.86%, Clear val loss: 1.5373
Epoch 9/100, Clear train acc: 71.7299%, Clear train loss: 0.8457, Clear val acc: 54.42%, Clear val loss: 1.6274
Epoch 10/100, Clear train acc: 71.8025%, Clear train loss: 0.8548, Clear val acc: 53.81%, Clear val loss: 1.6841
Epoch 11/100, Clear train acc: 74.1071%, Clear train loss: 0.7941, Clear val acc: 54.27%, Clear val loss: 1.6166
Epoch 12/100, Clear train acc: 74.7098%, Clear train loss: 0.7621, Clear val acc: 53.32%, Clear val loss: 1.7017
Epoch 13/100, Clear train acc: 74.6875%, Clear train loss: 0.7708, Clear val acc: 53.42%, Clear val loss: 1.6533
Epoch 14/100, Clear train acc: 76.3142%, Clear train loss: 0.7227, Clear val acc: 53.91%, Clear val loss: 1.7332
Epoch 15/100, Clear train acc: 78.6161%, Clear train loss: 0.6471, Clear val acc: 55.22%, Clear val loss: 1.7383
Epoch 16/100, Clear train acc: 75.6083%, Clear train loss: 0.7175, Clear val acc: 53.83%, Clear val loss: 1.7928
Epoch 17/100, Clear train acc: 80.4408%, Clear train loss: 0.5929, Clear val acc: 56.48%, Clear val loss: 1.7588
Epoch 18/100, Clear train acc: 81.3700%, Clear train loss: 0.5693, Clear val acc: 56.40%, Clear val loss: 1.7049
Epoch 19/100, Clear train acc: 80.9989%, Clear train loss: 0.5799, Clear val acc: 57.81%, Clear val loss: 1.6687
Epoch 20/100, Clear train acc: 81.7299%, Clear train loss: 0.5518, Clear val acc: 58.52%, Clear val loss: 1.6775
Epoch 21/100, Clear train acc: 82.8404%, Clear train loss: 0.5250, Clear val acc: 57.68%, Clear val loss: 1.7005
Epoch 22/100, Clear train acc: 82.5363%, Clear train loss: 0.5324, Clear val acc: 57.26%, Clear val loss: 1.6538
Epoch 23/100, Clear train acc: 83.6914%, Clear train loss: 0.4987, Clear val acc: 58.13%, Clear val loss: 1.7143
Epoch 24/100, Clear train acc: 83.8923%, Clear train loss: 0.4848, Clear val acc: 59.15%, Clear val loss: 1.5772
Epoch 25/100, Clear train acc: 83.9007%, Clear train loss: 0.4873, Clear val acc: 56.20%, Clear val loss: 1.7209
Epoch 26/100, Clear train acc: 84.5759%, Clear train loss: 0.4634, Clear val acc: 57.14%, Clear val loss: 1.8191
Epoch 27/100, Clear train acc: 85.6027%, Clear train loss: 0.4366, Clear val acc: 58.13%, Clear val loss: 1.6971
Epoch 28/100, Clear train acc: 85.3795%, Clear train loss: 0.4401, Clear val acc: 58.02%, Clear val loss: 1.8819
Epoch 29/100, Clear train acc: 85.1618%, Clear train loss: 0.4493, Clear val acc: 57.94%, Clear val loss: 1.8830
Epoch 30/100, Clear train acc: 86.8610%, Clear train loss: 0.4040, Clear val acc: 61.68%, Clear val loss: 1.6189
Epoch 31/100, Clear train acc: 87.7400%, Clear train loss: 0.3737, Clear val acc: 58.92%, Clear val loss: 1.7730
Epoch 32/100, Clear train acc: 87.1094%, Clear train loss: 0.3900, Clear val acc: 59.96%, Clear val loss: 1.8051
Epoch 33/100, Clear train acc: 87.8878%, Clear train loss: 0.3708, Clear val acc: 56.17%, Clear val loss: 2.1119
Epoch 34/100, Clear train acc: 87.5781%, Clear train loss: 0.3748, Clear val acc: 60.50%, Clear val loss: 1.7313
Epoch 35/100, Clear train acc: 88.5212%, Clear train loss: 0.3528, Clear val acc: 59.13%, Clear val loss: 1.8544
Epoch 36/100, Clear train acc: 87.8878%, Clear train loss: 0.3611, Clear val acc: 57.18%, Clear val loss: 1.8838
Epoch 37/100, Clear train acc: 88.6858%, Clear train loss: 0.3407, Clear val acc: 58.66%, Clear val loss: 1.9793
Epoch 38/100, Clear train acc: 88.3259%, Clear train loss: 0.3523, Clear val acc: 60.15%, Clear val loss: 1.7596
Epoch 39/100, Clear train acc: 88.7919%, Clear train loss: 0.3392, Clear val acc: 58.13%, Clear val loss: 2.0802
Epoch 40/100, Clear train acc: 89.0625%, Clear train loss: 0.3346, Clear val acc: 60.39%, Clear val loss: 1.8653
Epoch 41/100, Clear train acc: 89.0318%, Clear train loss: 0.3313, Clear val acc: 58.46%, Clear val loss: 1.9973
Epoch 42/100, Clear train acc: 90.4492%, Clear train loss: 0.2904, Clear val acc: 61.30%, Clear val loss: 1.8763
Epoch 43/100, Clear train acc: 89.6791%, Clear train loss: 0.3094, Clear val acc: 59.15%, Clear val loss: 1.9102
Epoch 44/100, Clear train acc: 90.4241%, Clear train loss: 0.2935, Clear val acc: 60.46%, Clear val loss: 1.8707
Epoch 45/100, Clear train acc: 90.9208%, Clear train loss: 0.2825, Clear val acc: 59.99%, Clear val loss: 1.9755
Epoch 46/100, Clear train acc: 90.0084%, Clear train loss: 0.3050, Clear val acc: 58.95%, Clear val loss: 1.7541
Epoch 47/100, Clear train acc: 91.1858%, Clear train loss: 0.2719, Clear val acc: 59.69%, Clear val loss: 1.9218
Epoch 48/100, Clear train acc: 91.0073%, Clear train loss: 0.2769, Clear val acc: 62.17%, Clear val loss: 1.7932
Epoch 49/100, Clear train acc: 90.3990%, Clear train loss: 0.2894, Clear val acc: 60.20%, Clear val loss: 2.0100
Epoch 50/100, Clear train acc: 91.6992%, Clear train loss: 0.2513, Clear val acc: 61.17%, Clear val loss: 1.8101
Epoch 51/100, Clear train acc: 91.4593%, Clear train loss: 0.2599, Clear val acc: 61.47%, Clear val loss: 1.8093
Epoch 52/100, Clear train acc: 91.0435%, Clear train loss: 0.2738, Clear val acc: 58.30%, Clear val loss: 1.8610
Epoch 53/100, Clear train acc: 91.6992%, Clear train loss: 0.2495, Clear val acc: 61.63%, Clear val loss: 2.0638
Epoch 54/100, Clear train acc: 91.8750%, Clear train loss: 0.2451, Clear val acc: 61.68%, Clear val loss: 1.8980
Epoch 55/100, Clear train acc: 92.0285%, Clear train loss: 0.2401, Clear val acc: 58.27%, Clear val loss: 2.2192
Epoch 56/100, Clear train acc: 91.9978%, Clear train loss: 0.2414, Clear val acc: 58.81%, Clear val loss: 2.0086
Epoch 57/100, Clear train acc: 92.2489%, Clear train loss: 0.2372, Clear val acc: 61.33%, Clear val loss: 1.9212
Epoch 58/100, Clear train acc: 92.5530%, Clear train loss: 0.2291, Clear val acc: 60.23%, Clear val loss: 2.1300
Epoch 59/100, Clear train acc: 92.5698%, Clear train loss: 0.2252, Clear val acc: 62.10%, Clear val loss: 2.1082
Epoch 60/100, Clear train acc: 92.4554%, Clear train loss: 0.2327, Clear val acc: 60.48%, Clear val loss: 2.1020
Epoch 61/100, Clear train acc: 91.6462%, Clear train loss: 0.2452, Clear val acc: 58.43%, Clear val loss: 2.2073
Epoch 62/100, Clear train acc: 92.1931%, Clear train loss: 0.2339, Clear val acc: 59.29%, Clear val loss: 2.1831
Epoch 63/100, Clear train acc: 93.0246%, Clear train loss: 0.2123, Clear val acc: 64.40%, Clear val loss: 1.8173
Epoch 64/100, Clear train acc: 92.9436%, Clear train loss: 0.2125, Clear val acc: 60.44%, Clear val loss: 2.2149
Epoch 65/100, Clear train acc: 93.5658%, Clear train loss: 0.1953, Clear val acc: 59.90%, Clear val loss: 2.0300
Epoch 66/100, Clear train acc: 93.3650%, Clear train loss: 0.1982, Clear val acc: 60.37%, Clear val loss: 2.2369
Epoch 67/100, Clear train acc: 92.2377%, Clear train loss: 0.2362, Clear val acc: 61.71%, Clear val loss: 2.1343
Epoch 68/100, Clear train acc: 93.5742%, Clear train loss: 0.1911, Clear val acc: 61.25%, Clear val loss: 2.2466
Epoch 69/100, Clear train acc: 92.6925%, Clear train loss: 0.2206, Clear val acc: 62.77%, Clear val loss: 1.8154
Epoch 70/100, Clear train acc: 93.6384%, Clear train loss: 0.1962, Clear val acc: 61.38%, Clear val loss: 1.9515
Epoch 71/100, Clear train acc: 93.6691%, Clear train loss: 0.1895, Clear val acc: 61.32%, Clear val loss: 2.1900
Epoch 72/100, Clear train acc: 93.5017%, Clear train loss: 0.1998, Clear val acc: 61.50%, Clear val loss: 2.2798
Epoch 73/100, Clear train acc: 93.3398%, Clear train loss: 0.2006, Clear val acc: 62.20%, Clear val loss: 1.9405
Epoch 74/100, Clear train acc: 93.7667%, Clear train loss: 0.1893, Clear val acc: 65.50%, Clear val loss: 1.6585
Epoch 75/100, Clear train acc: 93.9090%, Clear train loss: 0.1865, Clear val acc: 63.30%, Clear val loss: 1.9327
Epoch 76/100, Clear train acc: 93.4375%, Clear train loss: 0.1980, Clear val acc: 58.65%, Clear val loss: 2.2966
Epoch 77/100, Clear train acc: 94.2271%, Clear train loss: 0.1762, Clear val acc: 63.86%, Clear val loss: 2.0849
Epoch 78/100, Clear train acc: 94.2606%, Clear train loss: 0.1732, Clear val acc: 63.20%, Clear val loss: 2.1432
Epoch 79/100, Clear train acc: 94.3025%, Clear train loss: 0.1776, Clear val acc: 62.70%, Clear val loss: 1.8287
Epoch 80/100, Clear train acc: 94.2076%, Clear train loss: 0.1739, Clear val acc: 65.35%, Clear val loss: 1.7248
Epoch 81/100, Clear train acc: 93.7165%, Clear train loss: 0.1865, Clear val acc: 62.94%, Clear val loss: 2.0823
Epoch 82/100, Clear train acc: 94.0402%, Clear train loss: 0.1822, Clear val acc: 61.91%, Clear val loss: 2.0946
Epoch 83/100, Clear train acc: 94.3471%, Clear train loss: 0.1728, Clear val acc: 61.97%, Clear val loss: 2.0005
Epoch 84/100, Clear train acc: 94.6596%, Clear train loss: 0.1638, Clear val acc: 60.00%, Clear val loss: 2.2700
Epoch 85/100, Clear train acc: 94.8075%, Clear train loss: 0.1601, Clear val acc: 62.58%, Clear val loss: 2.2596
Epoch 86/100, Clear train acc: 94.8158%, Clear train loss: 0.1605, Clear val acc: 60.65%, Clear val loss: 2.0182
Epoch 87/100, Clear train acc: 94.3973%, Clear train loss: 0.1688, Clear val acc: 61.86%, Clear val loss: 2.0160
Epoch 88/100, Clear train acc: 94.7210%, Clear train loss: 0.1578, Clear val acc: 62.16%, Clear val loss: 2.4888
Epoch 89/100, Clear train acc: 94.1741%, Clear train loss: 0.1734, Clear val acc: 62.31%, Clear val loss: 2.0119
Epoch 90/100, Clear train acc: 94.6066%, Clear train loss: 0.1635, Clear val acc: 62.90%, Clear val loss: 2.1121
Epoch 91/100, Clear train acc: 94.7433%, Clear train loss: 0.1579, Clear val acc: 63.50%, Clear val loss: 2.0230
Epoch 92/100, Clear train acc: 95.2706%, Clear train loss: 0.1407, Clear val acc: 60.75%, Clear val loss: 2.2996
Epoch 93/100, Clear train acc: 94.9916%, Clear train loss: 0.1507, Clear val acc: 61.88%, Clear val loss: 2.1619
Epoch 94/100, Clear train acc: 95.1144%, Clear train loss: 0.1490, Clear val acc: 61.51%, Clear val loss: 2.3186
Epoch 95/100, Clear train acc: 95.4855%, Clear train loss: 0.1403, Clear val acc: 62.88%, Clear val loss: 2.1135
Epoch 96/100, Clear train acc: 94.9442%, Clear train loss: 0.1493, Clear val acc: 63.47%, Clear val loss: 2.3487
Epoch 97/100, Clear train acc: 95.5273%, Clear train loss: 0.1357, Clear val acc: 61.99%, Clear val loss: 2.3215
Epoch 98/100, Clear train acc: 95.4185%, Clear train loss: 0.1440, Clear val acc: 61.96%, Clear val loss: 2.3568
Epoch 99/100, Clear train acc: 94.4448%, Clear train loss: 0.1642, Clear val acc: 63.93%, Clear val loss: 2.0915
Epoch 100/100, Clear train acc: 95.1786%, Clear train loss: 0.1470, Clear val acc: 60.82%, Clear val loss: 2.5685
