Epoch 0/50, Train acc: 0.3397%, Train loss: 5.8890, Val acc: 0.50%, Val loss: 5.8875
Epoch 1/50, Train acc: 52.6640%, Train loss: 2.0318, Val acc: 54.65%, Val loss: 1.9680
Epoch 2/50, Train acc: 70.9860%, Train loss: 1.1664, Val acc: 67.83%, Val loss: 1.3442
Epoch 3/50, Train acc: 78.7476%, Train loss: 0.8355, Val acc: 72.69%, Val loss: 1.1480
Epoch 4/50, Train acc: 82.9360%, Train loss: 0.6535, Val acc: 74.68%, Val loss: 1.1266
Epoch 5/50, Train acc: 84.8217%, Train loss: 0.5717, Val acc: 76.03%, Val loss: 1.0349
Epoch 6/50, Train acc: 86.0393%, Train loss: 0.5283, Val acc: 77.24%, Val loss: 1.0903
Epoch 7/50, Train acc: 87.0682%, Train loss: 0.4804, Val acc: 77.56%, Val loss: 1.0097
Epoch 8/50, Train acc: 87.8816%, Train loss: 0.4575, Val acc: 78.52%, Val loss: 0.9977
Epoch 9/50, Train acc: 89.6133%, Train loss: 0.3874, Val acc: 78.80%, Val loss: 0.9676
Epoch 10/50, Train acc: 89.4501%, Train loss: 0.3989, Val acc: 80.11%, Val loss: 0.9555
Epoch 11/50, Train acc: 89.0266%, Train loss: 0.4041, Val acc: 77.45%, Val loss: 0.9493
Epoch 12/50, Train acc: 89.8976%, Train loss: 0.3702, Val acc: 79.55%, Val loss: 0.9563
Epoch 13/50, Train acc: 89.8827%, Train loss: 0.3757, Val acc: 78.52%, Val loss: 1.0016
Epoch 14/50, Train acc: 90.4656%, Train loss: 0.3555, Val acc: 78.20%, Val loss: 0.9620
Epoch 15/50, Train acc: 91.1840%, Train loss: 0.3242, Val acc: 79.19%, Val loss: 0.9390
Epoch 16/50, Train acc: 90.9004%, Train loss: 0.3339, Val acc: 79.58%, Val loss: 0.9643
Epoch 17/50, Train acc: 91.6016%, Train loss: 0.3126, Val acc: 80.82%, Val loss: 0.9755
Epoch 18/50, Train acc: 91.7984%, Train loss: 0.2933, Val acc: 81.21%, Val loss: 0.9040
Epoch 19/50, Train acc: 92.3222%, Train loss: 0.2854, Val acc: 81.04%, Val loss: 0.9538
Epoch 20/50, Train acc: 92.3357%, Train loss: 0.2804, Val acc: 81.46%, Val loss: 0.8793
Epoch 21/50, Train acc: 93.3893%, Train loss: 0.2451, Val acc: 81.92%, Val loss: 0.8856
Epoch 22/50, Train acc: 92.9164%, Train loss: 0.2596, Val acc: 81.04%, Val loss: 0.9422
Epoch 23/50, Train acc: 93.7897%, Train loss: 0.2246, Val acc: 82.42%, Val loss: 0.8242
Epoch 24/50, Train acc: 93.9797%, Train loss: 0.2184, Val acc: 82.49%, Val loss: 0.8332
Epoch 25/50, Train acc: 94.4415%, Train loss: 0.2036, Val acc: 83.27%, Val loss: 0.8333
