Epoch 1/100, Blur train acc: 51.6792%, Blur train loss: 2.0869, Blur val acc: 43.61%, Blur val loss: 2.7180
Epoch 2/100, Blur train acc: 69.9840%, Blur train loss: 1.2180, Blur val acc: 45.95%, Blur val loss: 2.9895
Epoch 3/100, Blur train acc: 78.2133%, Blur train loss: 0.8398, Blur val acc: 33.38%, Blur val loss: 4.9890
Epoch 4/100, Blur train acc: 83.1575%, Blur train loss: 0.6419, Blur val acc: 35.12%, Blur val loss: 4.5278
Epoch 5/100, Blur train acc: 84.5411%, Blur train loss: 0.5816, Blur val acc: 26.78%, Blur val loss: 6.4402
Epoch 6/100, Blur train acc: 84.5299%, Blur train loss: 0.5740, Blur val acc: 23.58%, Blur val loss: 7.5664
Epoch 7/100, Blur train acc: 86.5279%, Blur train loss: 0.4975, Blur val acc: 25.32%, Blur val loss: 7.9527
Epoch 8/100, Blur train acc: 86.2009%, Blur train loss: 0.5216, Blur val acc: 26.14%, Blur val loss: 7.2544
Epoch 9/100, Blur train acc: 87.7903%, Blur train loss: 0.4481, Blur val acc: 21.20%, Blur val loss: 8.2491
Epoch 10/100, Blur train acc: 87.9520%, Blur train loss: 0.4510, Blur val acc: 22.66%, Blur val loss: 9.8711
Epoch 11/100, Blur train acc: 87.9033%, Blur train loss: 0.4487, Blur val acc: 21.66%, Blur val loss: 9.1033
Epoch 12/100, Blur train acc: 87.8495%, Blur train loss: 0.4533, Blur val acc: 25.60%, Blur val loss: 8.1421
Epoch 13/100, Blur train acc: 88.4676%, Blur train loss: 0.4264, Blur val acc: 19.57%, Blur val loss: 10.4238
Epoch 14/100, Blur train acc: 88.8567%, Blur train loss: 0.4199, Blur val acc: 24.93%, Blur val loss: 9.1765
Epoch 15/100, Blur train acc: 89.0543%, Blur train loss: 0.4046, Blur val acc: 26.78%, Blur val loss: 8.4667
Epoch 16/100, Blur train acc: 90.7792%, Blur train loss: 0.3429, Blur val acc: 21.27%, Blur val loss: 9.7198
Epoch 17/100, Blur train acc: 90.2441%, Blur train loss: 0.3582, Blur val acc: 24.47%, Blur val loss: 9.2892
Epoch 18/100, Blur train acc: 90.1393%, Blur train loss: 0.3629, Blur val acc: 23.30%, Blur val loss: 9.8054
Epoch 19/100, Blur train acc: 90.8398%, Blur train loss: 0.3360, Blur val acc: 14.38%, Blur val loss: 13.1037
Epoch 20/100, Blur train acc: 90.8630%, Blur train loss: 0.3349, Blur val acc: 18.75%, Blur val loss: 11.1658
Epoch 21/100, Blur train acc: 91.3179%, Blur train loss: 0.3241, Blur val acc: 67.15%, Blur val loss: 1.7209
Epoch 22/100, Blur train acc: 90.9640%, Blur train loss: 0.3338, Blur val acc: 66.44%, Blur val loss: 1.8594
Epoch 23/100, Blur train acc: 91.8934%, Blur train loss: 0.2940, Blur val acc: 69.00%, Blur val loss: 1.6670
Epoch 24/100, Blur train acc: 92.5519%, Blur train loss: 0.2724, Blur val acc: 67.08%, Blur val loss: 1.8818
Epoch 25/100, Blur train acc: 91.3703%, Blur train loss: 0.3138, Blur val acc: 64.67%, Blur val loss: 1.8892
Epoch 26/100, Blur train acc: 92.1897%, Blur train loss: 0.2839, Blur val acc: 62.25%, Blur val loss: 2.0396
Epoch 27/100, Blur train acc: 92.4187%, Blur train loss: 0.2816, Blur val acc: 68.43%, Blur val loss: 1.8126
Epoch 28/100, Blur train acc: 92.5961%, Blur train loss: 0.2708, Blur val acc: 65.41%, Blur val loss: 1.9659
Epoch 29/100, Blur train acc: 92.8071%, Blur train loss: 0.2668, Blur val acc: 59.84%, Blur val loss: 2.4567
Epoch 30/100, Blur train acc: 93.2801%, Blur train loss: 0.2428, Blur val acc: 63.28%, Blur val loss: 2.0766
Epoch 31/100, Blur train acc: 93.1251%, Blur train loss: 0.2495, Blur val acc: 63.14%, Blur val loss: 2.0260
Epoch 32/100, Blur train acc: 92.8079%, Blur train loss: 0.2617, Blur val acc: 62.25%, Blur val loss: 2.1775
Epoch 33/100, Blur train acc: 93.5487%, Blur train loss: 0.2369, Blur val acc: 63.39%, Blur val loss: 2.1027
Epoch 34/100, Blur train acc: 93.9341%, Blur train loss: 0.2229, Blur val acc: 57.88%, Blur val loss: 2.5604
Epoch 35/100, Blur train acc: 93.4133%, Blur train loss: 0.2363, Blur val acc: 63.57%, Blur val loss: 2.2201
Epoch 36/100, Blur train acc: 94.1736%, Blur train loss: 0.2119, Blur val acc: 60.94%, Blur val loss: 2.2400
Epoch 37/100, Blur train acc: 94.4257%, Blur train loss: 0.2035, Blur val acc: 60.48%, Blur val loss: 2.3691
Epoch 38/100, Blur train acc: 94.5230%, Blur train loss: 0.2030, Blur val acc: 57.42%, Blur val loss: 2.7512
Epoch 39/100, Blur train acc: 94.0276%, Blur train loss: 0.2197, Blur val acc: 53.66%, Blur val loss: 3.1581
Epoch 40/100, Blur train acc: 94.7056%, Blur train loss: 0.1872, Blur val acc: 56.57%, Blur val loss: 2.7538
Epoch 41/100, Blur train acc: 94.3928%, Blur train loss: 0.2021, Blur val acc: 79.40%, Blur val loss: 0.9857
Epoch 42/100, Blur train acc: 95.1613%, Blur train loss: 0.1753, Blur val acc: 80.43%, Blur val loss: 0.9583
Epoch 43/100, Blur train acc: 94.9855%, Blur train loss: 0.1819, Blur val acc: 81.53%, Blur val loss: 0.9129
Epoch 44/100, Blur train acc: 95.0783%, Blur train loss: 0.1749, Blur val acc: 81.29%, Blur val loss: 0.9206
Epoch 45/100, Blur train acc: 95.4135%, Blur train loss: 0.1629, Blur val acc: 81.82%, Blur val loss: 0.8490
Epoch 46/100, Blur train acc: 95.0888%, Blur train loss: 0.1788, Blur val acc: 79.97%, Blur val loss: 1.0131
Epoch 47/100, Blur train acc: 95.5797%, Blur train loss: 0.1592, Blur val acc: 83.31%, Blur val loss: 0.8940
Epoch 48/100, Blur train acc: 95.5864%, Blur train loss: 0.1609, Blur val acc: 83.27%, Blur val loss: 0.8238
Epoch 49/100, Blur train acc: 95.8812%, Blur train loss: 0.1496, Blur val acc: 80.75%, Blur val loss: 0.9995
Epoch 50/100, Blur train acc: 95.9231%, Blur train loss: 0.1445, Blur val acc: 81.32%, Blur val loss: 0.9272
Epoch 51/100, Blur train acc: 96.2756%, Blur train loss: 0.1352, Blur val acc: 80.86%, Blur val loss: 1.0385
Epoch 52/100, Blur train acc: 96.2831%, Blur train loss: 0.1348, Blur val acc: 81.78%, Blur val loss: 0.9446
Epoch 53/100, Blur train acc: 96.2075%, Blur train loss: 0.1346, Blur val acc: 82.81%, Blur val loss: 0.8865
Epoch 54/100, Blur train acc: 96.4799%, Blur train loss: 0.1227, Blur val acc: 82.85%, Blur val loss: 0.8627
Epoch 55/100, Blur train acc: 96.5884%, Blur train loss: 0.1220, Blur val acc: 82.99%, Blur val loss: 0.9275
Epoch 56/100, Blur train acc: 96.8241%, Blur train loss: 0.1124, Blur val acc: 83.66%, Blur val loss: 0.9016
