Epoch 1/100, Clear train acc: 59.7581%, Clear train loss: 1.6819, Clear val acc: 54.58%, Clear val loss: 2.0026
Epoch 2/100, Clear train acc: 77.5226%, Clear train loss: 0.8802, Clear val acc: 70.81%, Clear val loss: 1.2684
Epoch 3/100, Clear train acc: 83.9088%, Clear train loss: 0.6035, Clear val acc: 72.80%, Clear val loss: 1.1964
Epoch 4/100, Clear train acc: 87.4701%, Clear train loss: 0.4631, Clear val acc: 75.21%, Clear val loss: 1.0536
Epoch 5/100, Clear train acc: 87.9804%, Clear train loss: 0.4365, Clear val acc: 75.53%, Clear val loss: 1.0988
Epoch 6/100, Clear train acc: 89.8527%, Clear train loss: 0.3697, Clear val acc: 78.62%, Clear val loss: 1.0522
Epoch 7/100, Clear train acc: 90.5330%, Clear train loss: 0.3435, Clear val acc: 79.37%, Clear val loss: 1.0167
Epoch 8/100, Clear train acc: 89.3506%, Clear train loss: 0.3921, Clear val acc: 77.81%, Clear val loss: 1.0896
Epoch 9/100, Clear train acc: 91.0283%, Clear train loss: 0.3281, Clear val acc: 82.07%, Clear val loss: 0.8844
Epoch 10/100, Clear train acc: 88.7130%, Clear train loss: 0.4194, Clear val acc: 74.61%, Clear val loss: 1.2785
Epoch 11/100, Clear train acc: 91.7954%, Clear train loss: 0.3009, Clear val acc: 80.79%, Clear val loss: 0.9372
Epoch 12/100, Clear train acc: 91.3396%, Clear train loss: 0.3114, Clear val acc: 78.62%, Clear val loss: 0.9902
Epoch 13/100, Clear train acc: 91.4130%, Clear train loss: 0.3094, Clear val acc: 79.83%, Clear val loss: 0.9697
Epoch 14/100, Clear train acc: 91.7161%, Clear train loss: 0.2994, Clear val acc: 79.08%, Clear val loss: 0.9805
Epoch 15/100, Clear train acc: 91.7467%, Clear train loss: 0.3006, Clear val acc: 80.54%, Clear val loss: 0.9116
Epoch 16/100, Clear train acc: 92.1246%, Clear train loss: 0.2905, Clear val acc: 80.75%, Clear val loss: 0.9494
Epoch 17/100, Clear train acc: 92.4053%, Clear train loss: 0.2774, Clear val acc: 80.08%, Clear val loss: 0.9800
Epoch 18/100, Clear train acc: 92.3895%, Clear train loss: 0.2823, Clear val acc: 80.15%, Clear val loss: 0.9638
Epoch 19/100, Clear train acc: 92.4322%, Clear train loss: 0.2771, Clear val acc: 78.84%, Clear val loss: 1.0170
Epoch 20/100, Clear train acc: 92.8064%, Clear train loss: 0.2732, Clear val acc: 79.97%, Clear val loss: 1.1318
Epoch 21/100, Clear train acc: 93.3534%, Clear train loss: 0.2389, Clear val acc: 81.92%, Clear val loss: 0.9051
Epoch 22/100, Clear train acc: 93.4080%, Clear train loss: 0.2371, Clear val acc: 81.36%, Clear val loss: 0.9221
Epoch 23/100, Clear train acc: 93.2606%, Clear train loss: 0.2467, Clear val acc: 80.50%, Clear val loss: 0.9427
Epoch 24/100, Clear train acc: 93.9693%, Clear train loss: 0.2198, Clear val acc: 80.50%, Clear val loss: 1.0099
Epoch 25/100, Clear train acc: 93.8061%, Clear train loss: 0.2264, Clear val acc: 81.78%, Clear val loss: 0.9031
Epoch 26/100, Clear train acc: 93.2254%, Clear train loss: 0.2473, Clear val acc: 80.65%, Clear val loss: 0.9942
Epoch 27/100, Clear train acc: 94.1152%, Clear train loss: 0.2147, Clear val acc: 81.50%, Clear val loss: 0.9614
Epoch 28/100, Clear train acc: 93.8555%, Clear train loss: 0.2210, Clear val acc: 81.36%, Clear val loss: 0.9560
Epoch 29/100, Clear train acc: 93.3803%, Clear train loss: 0.2379, Clear val acc: 80.08%, Clear val loss: 0.9861
Epoch 30/100, Clear train acc: 94.3068%, Clear train loss: 0.2117, Clear val acc: 81.39%, Clear val loss: 0.9814
Epoch 31/100, Clear train acc: 94.3861%, Clear train loss: 0.2015, Clear val acc: 80.75%, Clear val loss: 0.9873
Epoch 32/100, Clear train acc: 94.7108%, Clear train loss: 0.1929, Clear val acc: 81.92%, Clear val loss: 1.0164
Epoch 33/100, Clear train acc: 93.8675%, Clear train loss: 0.2263, Clear val acc: 81.18%, Clear val loss: 1.0698
Epoch 34/100, Clear train acc: 94.3569%, Clear train loss: 0.2012, Clear val acc: 81.29%, Clear val loss: 0.9296
Epoch 35/100, Clear train acc: 94.4587%, Clear train loss: 0.2009, Clear val acc: 81.14%, Clear val loss: 0.9585
Epoch 36/100, Clear train acc: 94.8164%, Clear train loss: 0.1859, Clear val acc: 82.14%, Clear val loss: 0.9489
Epoch 37/100, Clear train acc: 94.7438%, Clear train loss: 0.1891, Clear val acc: 82.63%, Clear val loss: 0.8271
Epoch 38/100, Clear train acc: 94.7640%, Clear train loss: 0.1897, Clear val acc: 81.11%, Clear val loss: 0.9354
Epoch 39/100, Clear train acc: 95.1307%, Clear train loss: 0.1752, Clear val acc: 81.64%, Clear val loss: 0.9716
Epoch 40/100, Clear train acc: 95.3806%, Clear train loss: 0.1734, Clear val acc: 81.68%, Clear val loss: 0.9792
Epoch 41/100, Clear train acc: 95.5841%, Clear train loss: 0.1571, Clear val acc: 83.35%, Clear val loss: 0.9004
Epoch 42/100, Clear train acc: 95.5714%, Clear train loss: 0.1601, Clear val acc: 82.42%, Clear val loss: 0.9101
Epoch 43/100, Clear train acc: 95.6021%, Clear train loss: 0.1564, Clear val acc: 84.02%, Clear val loss: 0.8437
Epoch 44/100, Clear train acc: 95.8872%, Clear train loss: 0.1476, Clear val acc: 83.03%, Clear val loss: 0.8887
Epoch 45/100, Clear train acc: 96.1544%, Clear train loss: 0.1382, Clear val acc: 83.59%, Clear val loss: 0.8963
Epoch 46/100, Clear train acc: 96.0713%, Clear train loss: 0.1416, Clear val acc: 84.13%, Clear val loss: 0.8299
Epoch 47/100, Clear train acc: 96.3804%, Clear train loss: 0.1313, Clear val acc: 84.06%, Clear val loss: 0.8795
Epoch 48/100, Clear train acc: 96.3235%, Clear train loss: 0.1308, Clear val acc: 84.34%, Clear val loss: 0.8710
Epoch 49/100, Clear train acc: 96.5368%, Clear train loss: 0.1265, Clear val acc: 83.88%, Clear val loss: 0.8317
Epoch 50/100, Clear train acc: 96.6408%, Clear train loss: 0.1191, Clear val acc: 84.94%, Clear val loss: 0.8377
Epoch 51/100, Clear train acc: 96.8915%, Clear train loss: 0.1118, Clear val acc: 85.05%, Clear val loss: 0.8289
Epoch 52/100, Clear train acc: 96.8757%, Clear train loss: 0.1129, Clear val acc: 84.34%, Clear val loss: 0.8430
